state,total_votes
Delaware,490935
Georgia,4952440
Idaho,858826
Illinois,5938579
Iowa,1670617
Kansas,1330054
Kentucky,2134667
Louisiana,2071543
Maine,812607
Massachusetts,3456020
Michigan,5479708
Minnesota,3211995
Mississippi,1309889
Montana,605637
Nebraska,903863
New Hampshire,795603
New Jersey,4442114
New Mexico,917237
North Carolina,5474951
Oklahoma,1556361
Oregon,2320063
Rhode Island,493429
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11148837
Virginia,4400699
West Virginia,778918
Wyoming,270866
Alabama,2303212
Alaska,353625
Arizona,3355317
Arkansas,1193261
Colorado,3235455
Georgia,4914395
